country,field,disclosed_investment,estimated_investment
Ghana,All,71,99
Greece,Hardware,115,394
Greece,Data and analytics,146,870
Greece,Transportation,24,150
Greece,Agriculture,114,224
Greece,General purpose,125,401
Greece,Computer Vision,114,224
Greece,Software,146,928
Greece,All,279,1062
Croatia,Software,256,933
Croatia,Data and analytics,255,927
Croatia,Transportation,253,256
Croatia,All,345,1028
Croatia,General purpose,255,927
Hungary,Information Technology,43,48
Hungary,Data and analytics,80,441
Hungary,All,247,613
Hungary,Finance,26,26
Hungary,Software,81,442
Hungary,Privacy and Security,26,26
Hungary,General purpose,48,64
Indonesia,Software,106,571
Indonesia,General purpose,101,532
Indonesia,All,271,800
Indonesia,Finance,16,23
Indonesia,"Mobile, platforms & Internet services",82,187
Indonesia,Data and analytics,103,332
Indonesia,Information Technology,81,494
India,Speech Recognition,66,100
India,All,35711,57233
India,Robotics,44,111
India,Community and Lifestyle,911,1028
India,Manufacturing,75,212
India,Privacy and Security,31,209
India,Data and analytics,2992,15974
India,Agriculture,82,555
India,Simulation,165,165
India,Energy and natural resources,37,441
India,Navigation and mapping,110,122
India,Other,1120,1419
India,"Mobile, platforms & Internet services",17616,23416
India,Hardware,16765,21994
India,Transportation,223,412
India,Finance,450,5422
India,"Sales, retail, commerce, marketing",809,5871
India,Lending and Investments,33,133
India,Gaming,61,82
India,Software,20378,38300
India,Information Technology,18264,19975
India,General purpose,2421,5929
India,Healthcare and Life Sciences,239,1098
India,Computer Vision,26,152
India,Telecommunications,174,254
India,Media and Entertainment,328,525
India,Consumer goods,16581,16919
India,Professional services,1170,1592
India,Education,346,670
India,Real estate,33,112
Ireland,"Mobile, platforms & Internet services",143,356
Ireland,Consumer goods,30,78
Ireland,Education,354,408
Ireland,Data and analytics,837,1553
Ireland,Professional services,398,500
Ireland,Other,80,110
Ireland,"Sales, retail, commerce, marketing",116,380
Ireland,Software,548,1328
Ireland,Finance,380,463
Ireland,Hardware,123,316
Ireland,Community and Lifestyle,27,114
Ireland,Media and Entertainment,81,132
Ireland,Transportation,379,388
Ireland,NLP,33,176
Ireland,Information Technology,262,398
Ireland,All,1364,2216
Ireland,Biotechnology,71,76
Ireland,Privacy and Security,40,73
Ireland,Sports,42,56
Ireland,Real estate,27,57
Ireland,Healthcare and Life Sciences,29,60
Ireland,General purpose,766,1334
Iceland,All,125,130
Iceland,Software,55,59
Iceland,Data and analytics,48,50
Iceland,General purpose,32,32
Israel,Sports,259,348
Israel,Healthcare and Life Sciences,894,1710
Israel,"Mobile, platforms & Internet services",1245,4485
Israel,Semiconductor,230,251
Israel,Agriculture,468,841
Israel,Finance,631,1484
Israel,Gaming,28,64
Israel,Consumer goods,359,891
Israel,Cyber Security,310,753
Israel,Biotechnology,73,208
Israel,Other,358,2186
Israel,Privacy and Security,988,2045
Israel,General purpose,5439,12190
Israel,Robotics,92,263
Israel,Transportation,684,1355
Israel,NLP,378,557
Israel,Lending and Investments,53,490
Israel,Real estate,256,585
Israel,Software,7030,15008
Israel,Information Technology,2659,6274
Israel,Computer Vision,948,1364
Israel,"Sales, retail, commerce, marketing",483,2157
Israel,Energy and natural resources,132,490
Israel,Hardware,1647,3487
Israel,Media and Entertainment,317,663
Israel,Professional services,306,2213
Israel,Navigation and mapping,40,217
Israel,Data and analytics,6384,14001
Israel,Community and Lifestyle,248,960
Israel,All,15772,25690
Israel,Manufacturing,327,842
Italy,Healthcare and Life Sciences,30,39
Italy,Software,257,1132
Italy,Biotechnology,44,45
Italy,Transportation,42,46
Italy,General purpose,237,912
Italy,"Sales, retail, commerce, marketing",65,251
Italy,NLP,38,41
Italy,All,433,1366
Italy,Manufacturing,16,22
Italy,Professional services,47,88
Italy,Consumer goods,27,32
Italy,Data and analytics,245,1115
Italy,"Mobile, platforms & Internet services",47,467
Italy,Information Technology,80,294
Italy,Hardware,54,145
Japan,Media and Entertainment,175,455
Japan,Transportation,447,572
Japan,Information Technology,1080,1908
Japan,"Sales, retail, commerce, marketing",394,582
Japan,Other,251,352
Japan,Hardware,953,1719
Japan,Manufacturing,521,695
Japan,Consumer goods,326,419
Japan,Robotics,380,591
Japan,Privacy and Security,70,229
Japan,"Mobile, platforms & Internet services",1201,1724
Japan,NLP,94,105
Japan,Software,2490,5129
Japan,Community and Lifestyle,82,147
Japan,Professional services,1039,1399
Japan,Finance,795,1159
Japan,Semiconductor,41,41
Japan,Data and analytics,2146,4584
Japan,Computer Vision,123,524
Japan,General purpose,2020,4423
Japan,Lending and Investments,79,85
Japan,Healthcare and Life Sciences,188,433
Japan,All,7218,10386
Japan,Education,69,247
Japan,Navigation and mapping,92,94
Japan,Biotechnology,191,305
Kenya,Software,35,75
Kenya,All,96,150
Kenya,Information Technology,33,67
Kenya,Finance,32,59
Kenya,Agriculture,32,44
Kenya,Data and analytics,34,69
South Korea,"Sales, retail, commerce, marketing",84,433
South Korea,Community and Lifestyle,1767,2191
South Korea,Robotics,68,611
South Korea,Biotechnology,117,196
South Korea,Privacy and Security,35,78
South Korea,Other,247,367
South Korea,Telecommunications,65,208
South Korea,Hardware,718,3362
South Korea,Finance,239,376
South Korea,NLP,74,113
South Korea,Media and Entertainment,1895,2819
South Korea,Education,281,847
South Korea,"Mobile, platforms & Internet services",2299,2967
South Korea,General purpose,4310,7122
South Korea,Healthcare and Life Sciences,273,538
South Korea,Real estate,59,409
South Korea,Consumer goods,242,529
South Korea,Semiconductor,29,32
South Korea,Data and analytics,4282,9005
South Korea,Manufacturing,43,351
South Korea,Professional services,44,442
South Korea,Navigation and mapping,33,1803
South Korea,Software,4681,9988
South Korea,Information Technology,685,3656
South Korea,Transportation,1089,3113
South Korea,All,8647,14771
South Korea,Computer Vision,135,536
Lithuania,Lending and Investments,100,100
Lithuania,Finance,100,102
Lithuania,All,337,388
Lithuania,Information Technology,102,107
Luxembourg,Data and analytics,39,1018
Luxembourg,All,103,1082
Luxembourg,Information Technology,33,981
Luxembourg,General purpose,40,1018
Luxembourg,"Mobile, platforms & Internet services",28,1006
Luxembourg,Software,46,1025
Mexico,Transportation,30,44
Mexico,Finance,227,267
Mexico,Lending and Investments,52,60
Mexico,"Sales, retail, commerce, marketing",32,107
Mexico,Data and analytics,201,403
Mexico,Information Technology,62,149
Mexico,"Mobile, platforms & Internet services",16,67
Mexico,Software,143,375
Mexico,All,711,967
Mexico,Real estate,29,33
Malta,Lending and Investments,135,135
Malta,Other,135,138
Malta,Finance,135,138
Malta,All,137,186
Malta,Software,135,174
Mauritius,Finance,35,46
Mauritius,All,66,89
Mauritius,Lending and Investments,35,46
Malaysia,Hardware,48,95
Malaysia,All,381,621
Malaysia,Software,293,454
Malaysia,Finance,63,64
Malaysia,General purpose,242,447
Malaysia,Lending and Investments,50,50
Malaysia,Data and analytics,245,453
Malaysia,Information Technology,65,94
Malaysia,"Sales, retail, commerce, marketing",150,172
Nigeria,All,66,146
Netherlands,Facial Recognition,101,103
Netherlands,Manufacturing,29,43
Netherlands,General purpose,1019,6271
Netherlands,Healthcare and Life Sciences,107,767
Netherlands,Data and analytics,1101,6943
Netherlands,Biotechnology,112,118
Netherlands,Media and Entertainment,112,545
Netherlands,Semiconductor,41,42
Netherlands,"Mobile, platforms & Internet services",230,2045
Netherlands,Robotics,108,257
Netherlands,Finance,476,1087
Netherlands,Consumer goods,70,563
Netherlands,Lending and Investments,207,207
Netherlands,Agriculture,24,30
Netherlands,Real estate,99,197
Netherlands,Privacy and Security,207,497
Netherlands,"Sales, retail, commerce, marketing",150,1346
Netherlands,Hardware,476,2120
Netherlands,Professional services,202,919
Netherlands,Other,229,674
Netherlands,Cyber Security,54,165
Netherlands,All,2163,8944
Netherlands,Information Technology,785,3626
Netherlands,Software,1228,6937
Netherlands,Computer Vision,109,434
Netherlands,Energy and natural resources,35,95
Norway,Information Technology,1014,1101
Norway,Hardware,229,518
Norway,All,1672,3720
Norway,Manufacturing,455,667
Norway,Professional services,63,303
Norway,"Mobile, platforms & Internet services",388,668
Norway,Real estate,285,289
Norway,Robotics,151,349
Norway,Software,1300,2727
Norway,Finance,51,115
Norway,General purpose,1243,2322
